年份,日期,国家,省份,确诊人数,死亡人数,治愈人数,新增确诊人数,减少确诊人数,减少死亡人数,减少现在确诊人数,减少治愈人数,新增确诊人数,新增治愈人数,新增死亡人数,描述,无症状,无症状增加人数
2020,01.20,中国,香港,0,0,0,0,,,,,0,0,0,,0,0
2020,01.21,中国,香港,0,0,0,0,,,,,0,0,0,,0,0
2020,01.22,中国,香港,1,0,0,1,,,,,1,0,0,,0,0
2020,01.23,中国,香港,2,0,0,1,,,,,1,0,0,,0,0
2020,01.24,中国,香港,5,0,0,3,,,,,3,0,0,,0,0
2020,01.25,中国,香港,5,0,0,0,,,,,0,0,0,,0,0
2020,01.26,中国,香港,8,0,0,3,,,,,3,0,0,,0,0
2020,01.27,中国,香港,8,0,0,0,,,,,0,0,0,,0,0
2020,01.28,中国,香港,8,0,0,0,,,,,0,0,0,,0,0
2020,01.29,中国,香港,10,0,0,2,,,,,2,0,0,,0,0
2020,01.30,中国,香港,12,0,0,2,,,,,2,0,0,,0,0
2020,01.31,中国,香港,13,0,0,1,,,,,1,0,0,,0,0
2020,02.01,中国,香港,14,0,0,1,,,,,1,0,0,,0,0
2020,02.02,中国,香港,15,0,0,1,,,,,1,0,0,,0,0
2020,02.03,中国,香港,15,0,0,0,,,,,0,0,0,,0,0
2020,02.04,中国,香港,18,1,0,3,,,,,3,0,1,,0,0
2020,02.05,中国,香港,21,1,0,4,,,,,4,0,0,,0,0
2020,02.06,中国,香港,24,1,0,3,,,,,3,0,0,,0,0
2020,02.07,中国,香港,26,1,0,1,,,,,1,0,0,,0,0
2020,02.08,中国,香港,26,1,0,2,,,,,2,0,0,,0,0
2020,02.09,中国,香港,36,1,0,10,,,,,10,0,0,,0,0
2020,02.10,中国,香港,38,1,0,9,,,,,9,0,0,,0,0
2020,02.11,中国,香港,50,1,1,8,,,,,8,1,0,,0,0
2020,02.12,中国,香港,50,1,1,8,,,,,8,0,0,,0,0
2020,02.13,中国,香港,53,1,1,3,,,,,3,0,0,,0,0
2020,02.14,中国,香港,56,1,1,3,,,,,3,0,0,,0,0
2020,02.15,中国,香港,56,1,1,0,,,,,0,0,0,,0,0
2020,02.16,中国,香港,57,1,2,1,,,,,1,1,0,,0,0
2020,02.17,中国,香港,60,1,2,3,,,,,3,0,0,,0,0
2020,02.18,中国,香港,62,2,4,0,,,,,0,2,1,,0,0
2020,02.19,中国,香港,65,2,5,3,,,,,3,1,0,,0,0
2020,02.20,中国,香港,68,2,5,3,,,,,3,0,0,,0,0
2020,02.21,中国,香港,68,2,6,0,,,,,0,1,0,,0,0
2020,02.22,中国,香港,69,2,11,0,,,,,0,5,0,,0,0
2020,02.23,中国,香港,74,2,11,5,,,,,5,0,0,,0,0
2020,02.24,中国,香港,81,2,19,7,,,,,7,8,0,,0,0
2020,02.25,中国,香港,85,2,18,4,,,,,4,-1,0,,0,0
2020,02.26,中国,香港,91,2,24,9,,,,,9,6,0,,0,0
2020,02.27,中国,香港,93,2,26,2,,,,,2,2,0,,0,0
2020,02.28,中国,香港,94,2,30,1,,,,,1,4,0,,0,0
2020,02.29,中国,香港,95,2,33,1,,,,,1,3,0,,0,0
2020,03.01,中国,香港,98,2,36,2,,,,,2,3,0,,0,0
2020,03.02,中国,香港,100,2,36,2,,,,,2,0,0,,0,0
2020,03.03,中国,香港,100,2,37,0,,,,,0,1,0,,0,0
2020,03.04,中国,香港,104,2,43,4,,,,,4,6,0,,0,0
2020,03.05,中国,香港,104,2,46,0,,,,,0,3,0,,0,0
2020,03.06,中国,香港,108,2,51,1,,,,,1,5,0,,0,0
2020,03.07,中国,香港,114,3,58,6,,,,,6,7,1,,0,0
2020,03.08,中国,香港,115,3,59,1,,,,,1,1,0,,0,0
2020,03.09,中国,香港,115,3,60,1,,,,,1,1,0,,0,0
2020,03.10,中国,香港,120,3,65,5,,,,,5,5,0,,0,0
2020,03.11,中国,香港,129,3,67,9,,,,,9,2,0,,0,0
2020,03.12,中国,香港,131,4,75,2,,,,,2,8,1,,0,0
2020,03.13,中国,香港,137,4,78,6,,,,,6,3,0,,0,0
2020,03.14,中国,香港,141,4,81,4,,,,,4,3,0,,0,0
2020,03.15,中国,香港,148,4,84,7,,,,,7,3,0,,0,0
2020,03.16,中国,香港,157,4,88,9,,,,,9,4,0,,0,0
2020,03.17,中国,香港,167,4,92,10,,,,,10,4,0,,0,0
2020,03.18,中国,香港,192,4,95,25,,,,,25,3,0,,0,0
2020,03.19,中国,香港,208,4,98,16,,,,,16,3,0,,0,0
2020,03.20,中国,香港,256,4,98,48,,,,,48,0,0,,0,0
2020,03.21,中国,香港,273,4,100,17,,,,,17,2,0,,0,0
2020,03.22,中国,香港,317,4,100,83,,,,,83,0,0,,0,0
2020,03.23,中国,香港,356,4,101,39,,,,,39,1,0,截至3月23日16时30分，香港新增39例新冠肺炎确诊病例，其中30人有境外旅行的记录。,0,0
2020,03.24,中国,香港,386,4,102,30,,,,,30,1,0,,0,0
2020,03.25,中国,香港,410,4,106,24,,,,,24,4,0,,0,0
2020,03.26,中国,香港,453,4,110,43,,,,,43,4,0,,0,0
2020,03.27,中国,香港,518,4,111,65,,,,,65,1,0,,0,0
2020,03.28,中国,香港,582,4,112,64,,,,,64,1,0,,0,0
2020,03.29,中国,香港,641,4,118,59,,,,,59,6,0,,0,0
2020,03.30,中国,香港,682,4,124,41,,,,,41,6,0,,0,0
2020,03.31,中国,香港,714,4,128,32,,,,,32,4,0,,0,0
2020,04.01,中国,香港,765,4,147,51,,,,,51,19,0,,0,0
2020,04.02,中国,香港,802,4,154,37,,,,,37,7,0,,0,0
2020,04.03,中国,香港,845,4,173,43,,,,,43,19,0,,0,0
2020,04.04,中国,香港,862,4,186,17,,,,,17,13,0,,0,0
2020,04.05,中国,香港,890,4,206,28,,,,,28,20,0,,0,0
2020,04.06,中国,香港,914,4,216,24,,,,,24,10,0,,0,0
2020,04.07,中国,香港,935,4,236,21,,,,,21,20,0,,0,0
2020,04.08,中国,香港,960,4,264,25,,,,,25,28,0,,0,0
2020,04.09,中国,香港,973,4,293,13,,,,,13,29,0,,0,0
2020,04.10,中国,香港,989,4,309,16,,,,,16,16,0,,0,0
2020,04.11,中国,香港,1000,4,336,11,,,,,11,27,0,,0,0
2020,04.12,中国,香港,1004,4,360,4,,,,,4,24,0,,0,0
2020,04.13,中国,香港,1009,4,397,5,,,,,5,37,0,,0,0
2020,04.14,中国,香港,1012,4,434,3,,,,,3,37,0,香港特别行政区1012例（出院434例，死亡4例）,0,0
2020,04.15,中国,香港,1016,4,485,4,,,,,4,51,0,香港特别行政区1016例（出院459例，死亡4例）,0,0
2020,04.16,中国,香港,1017,4,485,1,,,,,1,0,0,香港特别行政区1017例（出院485例，死亡4例）,0,0
2020,04.17,中国,香港,1021,4,532,4,,,,,4,47,0,,0,0
2020,04.18,中国,香港,1023,4,568,2,,,,,2,36,0,,0,0
2020,04.19,中国,香港,1025,4,602,2,,,,,2,34,0,,0,0
2020,04.20,中国,香港,1025,4,630,0,,,,,0,28,0,,0,0
2020,04.21,中国,香港,1029,4,650,4,,,,,4,20,0,,0,0
2020,04.22,中国,香港,1033,4,678,4,,,,,4,28,0,,0,0
2020,04.23,中国,香港,1035,4,699,2,,,,,2,21,0,,0,0
2020,04.24,中国,香港,1035,4,725,0,,,,,0,26,0,,0,0
2020,04.25,中国,香港,1037,4,753,2,,,,,2,28,0,,0,0
2020,04.26,中国,香港,1037,4,772,0,,,,,0,19,0,,0,0
2020,04.27,中国,香港,1037,4,787,0,,,,,0,15,0,,0,0
2020,04.28,中国,香港,1037,4,811,0,,,,,0,24,0,,0,0
2020,04.29,中国,香港,1037,4,830,0,,,,,0,19,0,,0,0
2020,04.30,中国,香港,1037,4,846,0,,,,,0,16,0,,0,0
2020,05.01,中国,香港,1039,4,859,2,,,,,2,13,0,,0,0
2020,05.02,中国,香港,1039,4,864,0,,,,,0,5,0,,0,0
2020,05.03,中国,香港,1039,4,879,0,,,,,0,15,0,,0,0
2020,05.04,中国,香港,1040,4,900,1,,,,,1,21,0,,0,0
2020,05.05,中国,香港,1040,4,920,0,,,,,0,20,0,,0,0
2020,05.06,中国,香港,1040,4,932,0,,,,,0,12,0,,0,0
2020,05.07,中国,香港,1044,4,944,4,,,,,4,12,0,,0,0
2020,05.08,中国,香港,1044,4,960,0,,,,,0,16,0,,0,0
2020,05.09,中国,香港,1044,4,967,0,,,,,0,7,0,,0,0
2020,05.10,中国,香港,1047,4,982,3,,,,,3,15,0,,0,0
2020,05.11,中国,香港,1047,4,985,0,,,,,0,3,0,,0,0
2020,05.12,中国,香港,1047,4,991,0,,,,,0,6,0,,0,0
2020,05.13,中国,香港,1050,4,1008,3,,,,,3,17,0,,0,0
2020,05.14,中国,香港,1051,4,1009,1,,,,,1,1,0,,0,0
2020,05.15,中国,香港,1052,4,1019,1,,,,,1,10,0,,0,0
2020,05.16,中国,香港,1052,4,1022,0,,,,,0,3,0,,0,0
2020,05.17,中国,香港,1055,4,1024,3,,,,,3,2,0,,0,0
2020,05.18,中国,香港,1055,4,1025,0,,,,,0,1,0,,0,0
2020,05.19,中国,香港,1055,4,1025,0,,,,,0,0,0,,0,0
2020,05.20,中国,香港,1055,4,1026,0,,,,,0,1,0,,0,0
2020,05.21,中国,香港,1063,4,1029,8,,,,,8,3,0,,0,0
2020,05.22,中国,香港,1065,4,1029,2,,,,,2,0,0,,0,0
2020,05.23,中国,香港,1065,4,1029,0,,,,,0,0,0,,0,0
2020,05.24,中国,香港,1065,4,1030,0,,,,,0,1,0,,0,0
2020,05.25,中国,香港,1065,4,1030,0,,,,,0,0,0,,0,0
2020,05.26,中国,香港,1065,4,1033,0,,,,,0,3,0,,0,0
